;document_no;cominant_topic;topic_perc_contrib;keywords;tokens
522;522;0;0.3007;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['dessin', 'publie', 'ouestfrance', 'secheresse', 'poutine', 'actualité', 'dessindepresse']
523;523;0;0.3101;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['equipage', 'tres', 'bien', 'reagi', 'face', 'degradation', 'situation', 'geopolitique', 'capitaine', 'sebastien', 'martinot', 'commandant', 'porte', 'charles', 'gaulle', 'marinenationale']
524;524;2;0.2883;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['olafscholz', 'dit', 'tres', 'interesse', 'idee', 'emmanuelmacron', 'reprise', 'fmitterrand', 'communaute', 'politique', 'europeenne', 'susceptible', 'accueillir', 'pays', 'partagent', 'valeur', 'europeennes', 'comme', 'royaumeuni']
525;525;0;0.2592;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['augmente', 'insecurite', 'violence', 'sexuelles', 'manque', 'ressource', 'trafic', 'etres', 'humains', 'rend', 'vie', 'femme', 'fille', 'beaucoup', 'plus', 'difficile', 'doit', 'arreter', 'maintenant']
526;526;3;0.262;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['faut', 'embrayer', 'derriere', 'discours', 'americain', 'excites', 'washington', 'veulent', 'faire', 'nouvel', 'afghanistan', 'affaiblir', 'plus', 'aise', 'ligne', 'francaise', 'allemande', 'hubert', 'vedrine', 'bonjourchezvous']
527;527;0;0.3261;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['ordre', 'president', 'republique', 'cdg', 'contribue', 'dissuasion', 'nucleaire', 'capitaine', 'sebastien', 'martinot', 'commandant', 'porte', 'charles', 'gaulle', 'marinenationale']
528;528;0;0.3103;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['force', 'symbole', 'mai', 'france', 'amp', 'allemagne', 'ensemble', 'soutenir']
529;529;0;0.3443;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['cnews', 'detourne', 'regard', 'action', 'americains', 'entraine', 'otan', 'contre']
530;530;0;0.3594;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['debut', 'invasion', 'deux', 'chef', 'milice', 'syrien', 'posaient', 'cochon', 'mort', 'lequel', 'inscrit', 'volodymyr', 'zelensky']
531;531;1;0.2906;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['directeur', 'association', 'francaise', 'dite', 'humanitaire', 'continue', 'rendre', 'syrie', 'rencontrer', 'chef', 'pro', 'pose', 'photo', 'sou', 'signe', 'symbole', 'soutien', 'effort', 'moscou']
532;532;0;0.356;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['webinaire', 'soutenir', 'integration', 'linguistique', 'jeune', 'refugies', 'jeudi', 'mai', 'heure', 'europe', 'centrale', 'destine', 'enseignant', 'langue', 'amp', 'autres', 'matieres', 'preprimaire', 'primaire', 'secondaire', 'description', 'amp', 'inscription']
533;533;0;0.399;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['sudradio', 'comment', 'macron', 'ursula', 'veulent', 'transgenrer', 'unioneuropeenne', 'philippemurer', 'decrypte', 'comment', 'france', 'explose', 'deficit', 'marctouati', 'dechiffre', 'adrienbocquet', 'livre', 'leve', 'marche', 'tout', 'recent', 'sejour']
534;534;3;0.3185;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['dis', 'confiance', 'eme', 'paquet', 'sanction', 'europeennes', 'contre', 'elles', 'tres', 'puissantes', 'sortirons', 'progressivement', 'petrole', 'hydrocarbure', 'russe', 'elimartichoux', 'lci']
535;535;3;0.3856;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['force', 'ukrainien', 'cherchent', 'obtenir', 'succes', 'symbolique', 'donner', 'bonne', 'figure', 'communication', 'propagandiste', 'seule', 'peut', 'tenter', 'cacher', 'misere', 'armee', 'delite', 'jour', 'jour', 'donbass']
536;536;2;0.2952;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['accueil', 'scientifique', 'ukrainien', 'quand', 'moyen', 'hauteur', 'urgence', 'lire', 'tribune', 'libe', 'universite', 'mtunondelara', 'guillaumegelle', 'virgindupont', 'gouvernementfr', 'sup', 'recherche']
537;537;4;0.6469;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['point', 'situation', 'retrouvez', 'toutes', 'information', 'mieux', 'comprendre', 'enjeu', 'crise', 'notredefense', 'florence', 'parly', 'hervegrandjean', 'gouvernementfr', 'etatmajorfr', 'armeedeterre', 'armee', 'lair', 'marinenationale']
538;538;3;0.3204;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['force', 'russe', 'minent', 'corridor', 'humanitaire', 'violent', 'affament', 'amp', 'torturent', 'mort', 'urgence', 'question', 'humiliation', 'non', 'cesse', 'humiliation', 'absolue', 'femme', 'amp', 'enfant', 'standwithukraine']
539;539;0;0.3004;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['replay', 'propagande', 'poutine', 'terrible', 'jeu', 'enfant', 'etait', 'edito', 'franceinfotv', 'cet', 'endroit', 'fait', 'bon', 'faire', 'journalisme', 'poutine', 'rt', 'oupas']
540;540;0;0.2378;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['remarquable', 'article', 'youssef', 'hindi', 'comprendre', 'pourquoi', 'bfm', 'devenu', 'machine', 'propagande', 'nazi', 'azov', 'israel', 'azovstal']
541;541;0;0.2309;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['bruno', 'degraeve', 'va', 'faire']
542;542;0;0.2825;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['laisser', 'rejoindre', 'europe', 'erreur', 'fondamentale', 'raison', 'tant', 'souffrance', 'devastee', 'ralentissement', 'battent', 'noustous', 'democratie', 'Monsieur', 'macron', 'virez', 'hongrie', 'plutot', 'svp', 'emmanuelmacron', 'olafscholz']
543;543;0;0.3264;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['injustifiable', 'regime', 'contre', 'etend', 'cyberespace', 'invasion', 'illegale', 'modele', 'cyberactivites', 'malveillant', 'inacceptables', 'doivent', 'cesser', 'lire', 'declaration', 'canada']
544;544;2;0.27;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['phrase', 'plus', 'actualite', 'jamais', 'macron', 'entraine', 'contre', 'contraire', 'tous', 'interets', 'nationaux', 'oui', 'paix', 'non', 'otan', 'sortonsdelotan']
545;545;0;0.3639;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['soutenir', 'ukrainien', 'fait', 'seulement', 'aide', 'militaire', 'humanitaire', 'aussi', 'fin', 'achat', 'gaz', 'petrole', 'comme', 'rappelle', 'campagne', 'vert', 'parlement', 'europeen', 'greensefa']
546;546;0;0.3674;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['discours', 'prononce', 'journee', 'europe', 'mai', 'rumba', 'patrimoine', 'commun', 'humanite', 'combat', 'paix', 'rdcongo', 'lutte', 'contre', 'discours', 'haine', 'amp', 'promotion', 'vivreensemble', 'partenariat', 'ue', 'rdc']
547;547;3;0.3379;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['confirmant', 'pire', 'crainte', 'civil', 'evacues', 'mariupol', 'bien', 'ete', 'filtre', 'force', 'ru', 'arrete', 'certain', 'comme', 'viktoria', 'obidina', 'medecin', 'militaire', 'fille', 'an', 'devenue', 'celebre', 'video', 'arrivee', 'seule', 'zaporizhia']
548;548;1;0.3239;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['eurocrate', 'veulent', 'etats', 'portent', 'garant', 'emprunt', 'milliard', 'pays', 'insolvable', 'delire', 'france', 'jamais', 'remboursee', 'meme', 'temps', 'bruxelles', 'exige', 'reforme', 'retraite', 'frexit']
549;549;0;0.4419;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['rien', 'veritablement', 'nouveau', 'discours', 'vladimir', 'poutine', 'mai', 'fait', 'repeter', 'cliches', 'mensonge', 'fevrier', 'attaquer', 'voici', 'comment', 'decrypter']
550;550;3;0.3989;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['composition', 'teamunicef', 'coup', 'envoi', 'matchdesheros', 'soutenir', 'action', 'unicef', 'enfant', 'olfondation', 'suivez', 'match', 'direct', 'lachainelequipe']
551;551;1;0.2561;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['france', 'cobelligerante', 'france', 'fournit', 'aide', 'militaire', 'armement', 'necessite', 'avoir', 'europe', 'forte', 'effort', 'militaire', 'doit', 'etre', 'rendez', 'jy', 'ledrian', 'bfmtv']
552;552;3;0.303;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['entre', 'entre', 'alliance', 'atlantique', 'faut', 'retrouve', 'frontieres', 'autonomie', 'faut', 'retire', 'tout', 'simplement', 'jy', 'ledrian', 'bfmtv']
553;553;0;0.3163;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['agression', 'continue', 'continue', 'donbass', 'encore', 'marioupol', 'objectif', 'memes', 'forme', 'enfermement', 'poutine', 'interview', 'jy', 'ledrian', 'bfmtv']
554;554;0;0.3004;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['france', 'vendu', 'arme', 'utilise', 'faire', 'vendu', 'arme', 'arabie', 'saoudite', 'tuent', 'yemen', 'tout', 'sou', 'macron', 'melenchon', 'probleme', 'etes', 'con', 'toute', 'journee', 'faites', 'pause']
555;555;3;0.4786;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['ainsi', 'habitant', 'marioupol', 'ete', 'traite', 'an', 'honte', 'macron', 'rien', 'fait', 'mettre', 'fin', 'ukrainien', 'envers', 'russophones', 'image', 'restent', 'parole', 'macron', 'mensonge']
556;556;0;0.4217;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['condamnons', 'fermement', 'cyberattaque', 'menee', 'contre', 'cyberattaques', 'font', 'partie', 'integrante', 'poutine', 'comportement', 'irresponsable', 'cyberespace']
557;557;0;0.3895;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['mai', 'deduis', 'discours', 'poutine', 'kremlin', 'option', 'disponible', 'face', 'essoufflement', 'offensive', 'accroissement', 'aide', 'militaire', 'ouest']
558;558;3;0.3678;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['pendant', 'temps', 'problemes', 'penurie', 'huile', 'tournesol', 'moins', 'meme', 'choix', 'ukrainerussianwar', 'zelensky', 'putin', 'ukraineunderattask']
559;559;0;0.3441;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['direct', 'ver', 'loi', 'martiale', 'selon', 'renseignement', 'americains']
560;560;3;0.4123;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['content', 'avoir', 'ete', 'present', 'foi', 'depart', 'eme', 'convoi', 'securitecivile', 'presence', 'pm', 'jeancastex', 'minute', 'jy', 'ledrian', 'bonne', 'route', 'ami', 'heureux', 'receptionner', 'vehicules', 'quelques', 'jour', 'solidarite', 'acte']
561;561;3;0.3804;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['reste', 'gens', 'blesses', 'medecins', 'sauver', 'acierie', 'azovstai', 'saveazovstal', 'savemariupol', 'standwithukraine', 'event', 'marioupol', 'kherson', 'kharkiv', 'mykolaiv', 'odessa']
562;562;3;0.3634;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['chef', 'mission', 'surveillance', 'droit', 'homme', 'onu', 'declare', 'disposer', 'allegations', 'credibles', 'torture', 'executions', 'force', 'securite', 'ukrainien', 'reuters']
563;563;3;0.3905;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['tres', 'interessante', 'intervention', 'directrice', 'renseignement', 'americain', 'estime', 'reorientation', 'force', 'russe', 'donbass', 'tactique', 'ponctuelle', 'objectif', 'strategiques', 'probablement', 'change']
564;564;3;0.281;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['nouveau', 'samedi', 'mai', 'place', 'republique', 'pari', 'soutenir', 'ukrainien', 'ukrainien', 'stoprussia', 'stopputinnow', 'standwithukraine', 'ukrainestand']
565;565;0;0.3677;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['chef', 'diplomatie', 'allemande', 'neerlandais', 'etaient', 'livraison', 'arme', 'americaines', 'devraient', 'accelerer', 'apres', 'reactivation', 'joe', 'biden', 'dispositif', 'seconde', 'mondiale']
566;566;3;0.3478;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['soir', 'salle', 'mariage', 'conference', 'europe', 'face', 'conflit', 'russo', 'ukrainien', 'alexandre', 'del', 'valle', 'geopolitologue', 'sou', 'haut', 'patronage', 'jacques', 'soppelsa', 'conference', 'ouverte', 'tous', 'otan']
567;567;2;0.3269;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['ambassadeur', 'apercu', 'hier', 'varsovie', 'fui', 'nulle', 'part', 'depose', 'fleur', 'dignite', 'repondu', 'question', 'journaliste', 'qualifiant', 'clairement', 'evenements', 'bucha', 'mise', 'scene', 'embassy', 'guerreenukraine', 'yvespdb', 'pressemondial']
568;568;0;0.2896;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['premierministre', 'jeancastex', 'ambassadeur', 'france', 'kyiv', 'edeponcins', 'accompagne', 'depart', 'convoi', 'humanitaire', 'francais']
569;569;0;0.3251;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['president', 'zelensky', 'adressera', 'mercredi', 'etudiants', 'francais']
570;570;0;0.3676;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['cela', 'demontre', 'surtout', 'effet', 'hausse', 'prix', 'energie', 'hausse', 'fortement', 'aggravee', 'agression', 'ami', 'vladimir', 'poutine', 'mene', 'economie', 'fonde', 'fait', 'mlp', 'officiel', 'fantasme', 'declin']
571;571;3;0.2516;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['debut', 'matchdesheros', 'compte', 'encourager', 'superbe', 'teamunicef', 'faire', 'don', 'soutenir', 'action', 'enfant', 'don', 'sms']
572;572;3;0.2955;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['solidarite', 'convoi', 'securite', 'civil', 'parti', 'matin', 'cadre', 'mecanisme', 'protection', 'civil', 'union', 'eucivpro', 'jeancastex', 'amp', 'jy', 'ledrian', 'venu', 'saluer', 'sapeur', 'sauveteur', 'acheminent', 'vehicules', 'materiel', 'roumanie']
573;573;3;0.3499;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['toujours', 'videos', 'civil', 'torture', 'zone', 'occupee', 'kherson', 'exemple', 'comme', 'horreur', 'permanente', 'regardons', 'passivement', 'financons', 'meme', 'twitteroff']
574;574;0;0.3721;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['documentaire', 'tranchees', 'loupbureau', 'selection', 'mostra', 'venise', 'sort', 'france', 'cinema', 'foncez', 'voir', 'grand', 'ecran', 'donbass', 'beaucoup', 'humanite', 'voit', 'depuis', 'huit', 'an']
575;575;2;0.2953;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['retour', 'mission', 'humanitaire', 'soldat', 'russe', 'capture', 'main', 'attachees', 'prenaient', 'balle', 'kalachnikov', 'genou', 'tete', 'suivant', 'grade', 'passe', 'bouchta', 'meto']
576;576;4;0.2918;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['soiree', 'solidarite', 'extraordinaire', 'grace', 'matchdesheros', 'permis', 'collecter', 'soutenir', 'action', 'unicef', 'faveur', 'enfant', 'famille', 'merci', 'merci', 'merci', 'precieux', 'soutien', 'pourchaqueenfant']
577;577;2;0.3269;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['souligner', 'journee', 'europe', 'unite', 'europeenne', 'hommage', 'illumine', 'site', 'emblematiques', 'partout', 'canada', 'nuit', 'mai', 'plus', 'photo']
578;578;0;0.3264;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['ceux', 'entendu', 'parler', 'soldat', 'ukrainien', 'fait', 'duo', 'bono', 'metro', 'kyiv', 'ed', 'sheeran', 'tara', 'topolya', 'antytila', 'offic', 'chanson', 'culte', 'reprise', 'classique', 'hymne']
579;579;3;0.3922;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['plus', 'personne', 'trouve', 'refuge', 'france', 'depuis', 'debut', 'invasion', 'si', 'gouvernement', 'assure', 'tous', 'moyen', 'mis', 'oeuvre', 'accueillir', 'desorganisation', 'persiste']
580;580;3;0.3007;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['arme', 'arrivent', 'aide', 'apportons', 'repond', 'exactement', 'demande', 'ukrainien', 'ukrainien', 'transmettent', 'liste', 'ambassade', 'edeponcins', 'ambassadeur', 'france', 'caroline', 'roux']
581;581;0;0.364;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['emmanuelmacron', 'xijinping', 'accord', 'reclamer', 'cessezlefeu', 'aussi', 'empecher', 'penurie', 'alimentaire', 'mondiale']
582;582;0;0.2489;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['milliard', 'planche', 'billet', 'fed', 'va', 'tourner', 'plein', 'regime', 'rappelle', 'million', 'americains', 'survivent', 'bon', 'alimentaires']
583;583;3;0.2413;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['allemagne', 'joue', 'habilement', 'symbole', 'emotion', 'or', 'realite', 'geopolitique', 'integree', 'famille', 'europeenne', 'permettrait', 'allemand', 'etendre', 'hinterland', 'industriel', 'main', 'oeuvre', 'low', 'cost', 'france', 'tout', 'perdre']
584;584;1;0.3249;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['cesse', 'rappeler', 'cles', 'conflit', 'soutien', 'international', 'donc', 'necessite', 'convaincre', 'ensemble', 'communaute', 'internationale', 'illegitimite', 'invasion', 'caractere', 'criminel', 'acte', 'poutine']
585;585;3;0.3906;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['ami', 'parisien', 'demande', 'tres', 'urgente', 'ancien', 'premiere', 'danseur', 'mere', 'choregraphe', 'kievcityballet', 'plus', 'logement', 'jour', 'travaille', 'fil', 'theatrechatelet', 'recherche', 'appartement', 'mari']
586;586;3;0.2767;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['assassinat', 'journaliste', 'shireenabuakleh', 'armee', 'israelienne', 'emeut', 'personne', 'indignation', 'humaniste', 'deja', 'prise', 'peut', 'indigner', 'tous', 'massacre', 'monde', 'surtout', 'ceux', 'perpetres', 'armee', 'israelienne']
587;587;0;0.3427;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['otan', 'perdu', 'bataille', 'strategique', 'ile', 'serpent', 'contre', 'puisque', 'media', 'atlantistes', 'surprise', 'parlent', 'voici', 'specialement', 'petit', 'etat', 'lieux']
588;588;3;0.3993;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['premier', 'combattant', 'etrangers', 'arrives', 'fevrier', 'etaient', 'canadien', 'premier', 'officier', 'etranger', 'arrete', 'force', 'russe', 'mai', 'etait', 'general', 'canadien', 'evidence', 'canada', 'implication', 'cachee', 'conflit']
589;589;3;0.2684;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['chois', 'apocalypse', 'camarade', 'humanite', 'fr', 'gazrusse', 'gnl', 'climat']
590;590;2;0.2891;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['ferme', 'mercredi', 'transit', 'partie', 'gaz', 'ver', 'europe']
591;591;2;0.2781;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['solidarite', 'ver', 'poursuit', 'grace', 'mobilisation', 'collectivites', 'locale', 'entreprise', 'convoi', 'parti', 'ver', 'presence', 'jeancastex', 'jy', 'ledrian', 'operation', 'humanitaire', 'organisee', 'cdcmae', 'amp', 'seccivilefrance']
592;592;1;0.267;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['initiative', 'ambassade', 'france', 'zelensky', 'adressera', 'echangera', 'direct', 'kyiv', 'etudiants', 'francais', 'science', 'po', 'polytechnique', 'pari', 'pantheon', 'sorbonne', 'suivre', 'egalement', 'ici', 'standwithukraine']
593;593;2;0.3982;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['puisqu', 'dit', 'ue', 'va', 'bien', 'macron', 'vonderleyen']
594;594;3;0.3163;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['aspiration', 'europeennes', 'moldavie', 'menacees', 'offensive', 'ndeg', 'nouveau', 'tour', 'horizon', 'perspective', 'pays', 'florentparmenti', 'chercheur', 'sciencespo', 'cevipof', 'cc', 'euradio', 'fr']
595;595;4;0.2423;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['cfdt', 'appelle', 'joindre', 'rassemblement', 'soutien', 'tiendront', 'partout', 'france', 'pari', 'lieu', 'samedi', 'mai', 'place', 'republique', 'appel', 'don', 'convoi', 'syndical', 'standwithukraine']
596;596;1;0.3574;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['apres', 'plus', 'an', 'pandemie', 'plus', 'moi', 'grand', 'entreprise', 'francaises', 'transferent', 'plus', 'milliard', 'euro', 'leurs', 'actionnaire', 'hausse', 'rapport', 'annee', 'derniere', 'nouvelle', 'note', 'allobercy']
597;597;3;0.3527;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['allore', 'conte', 'fille', 'moque', 'monde', 'jamais', 'mis', 'pied', 'croyais', 'journaliste', 'brunet', 'serieux', 'trompe', 'souvent']
598;598;2;0.3269;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['pendant', 'monde', 'entier', 'yeux', 'tourne', 'ver', 'force', 'occupation', 'executent', 'sang', 'froid', 'shireenabuakleh', 'al', 'jazeera', 'barbarie', 'isra', 'lienne', 'silence', 'assourdissant', 'communaute', 'internationale', 'palestine', 'aljazeeratv']
599;599;3;0.6155;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['journal', 'petit', 'fille', 'marioupol', 'an', 'ecrit', 'ceci', 'depuis', 'fevrier', 'deux', 'chien', 'mort', 'grand', 'mere', 'galya', 'ville', 'simple', 'mot', 'enfant', 'quelques', 'dessin', 'bouleverse']
600;600;2;0.2577;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['journaliste', 'shireenabuaqla', 'abattue', 'armee', 'occupation', 'israelienne', 'an', 'apres', 'destruction', 'siege', 'aljazeera', 'pourquoi', 'complaisance', 'ue', 'usa', 'france', 'egard', 'crime', 'regime', 'apartheid', 'israel', 'bfmtv', 'palestine', 'nupes']
601;601;2;0.2953;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['image', 'choc', 'montrant', 'assassinat', 'journaliste', 'aljazeera', 'shireenabuakleh', 'force', 'israeliennes', 'alors', 'exercait', 'travail', 'portant', 'gilet', 'press', 'shireen', 'etait', 'icone', 'palestine', 'monde', 'arabe', 'monde']
602;602;0;0.3265;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['victoire', 'liberte', 'zelensky', 'echange', 'etudiants', 'france', 'zelenskyyua', 'standwithukraine', 'boutmystandwithukraine']
603;603;2;0.2891;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['portugal', 'va', 'envoyer', 'char', 'blinde', 'facile', 'utiliser', 'vocation', 'transport', 'troupe', 'datent', 'operationnels', 'etaient', 'utilises', 'manoeuvre', 'otan', 'ue', 'warinukraine', 'aidemilitaire', 'chardassaut']
604;604;3;0.3782;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['adrien', 'bocquet', 'ancien', 'armee', 'francaise', 'humanitaire', 'denonce', 'crime', 'azov', 'armee', 'ukrainien', 'poutinolatre', 'aussi', 'juste', 'realite', 'terrain', 'macron', 'enthoven', 'bhl', 'compagnie', 'honte']
605;605;3;0.4734;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['procureur', 'generale', 'ukrainien', 'annonce', 'premiere', 'inculpation', 'crime', 'commis', 'soldat', 'russe', 'suspect', 'occurrence', 'militaire', 'an', 'poursuivi', 'avoir', 'tue', 'civil', 'an', 'circulait', 'velo', 'village', 'choupakhiva']
606;606;1;0.2855;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['blague', 'jour', 'macronard', 'er', 'proposer', 'faire', 'partie', 'ue', 'sans', 'faire', 'vraiment', 'partie', 'zelenski', 'vient', 'subir', 'meme', 'temps', 'poudre', 'revient']
607;607;1;0.3102;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['penurie', 'galette', 'menace', 'bretagne', 'prix', 'ble', 'noir', 'venu', 'chine', 'devenu', 'exorbitant', 'tandis', 'pays', 'stoppe', 'leurs', 'exportation', 'cause']
608;608;2;0.3129;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['philosophe', 'comme', 'finkelkraut', 'politique', 'comme', 'macron', 'valls', 'hidalgo', 'etc', 'demandent', 'soutenir', 'regime', 'apartheid', 'israel', 'toute', 'logique', 'devraient', 'reclamer', 'proces', 'crime', 'impunis', 'palestine', 'shireenabuaqla', 'nupes']
609;609;0;0.2704;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['encore', 'quelques', 'jour', 'disait', 'assassinat', 'journaliste', 'etait', 'crime', 'quand', 'israel', 'assassine', 'journaliste', 'palestinien', 'sherineabuaqleh', 'tout', 'monde', 'piscine', 'bds']
610;610;3;0.3008;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['direct', 'fait', 'beau', 'lurette', 'merite', 'adherer', 'ue', 'declare', 'zelensky', 'devant', 'etudiants', 'francais']
611;611;2;0.3277;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['gc', 'appelle', 'entreprisescdn', 'tous', 'secteur', 'repondre', 'demande', 'bien', 'service', 'prioritaire', 'reponse', 'crise', 'si', 'entreprise', 'souhaite', 'aider', 'consultez', 'solidariteaveclukraine']
612;612;3;0.3334;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['podcast', 'entretien', 'etudiants', 'reunis', 'grand', 'amphi', 'sciencespo', 'passionnante', 'grand', 'conference', 'zelenskyyua', 'cet', 'apres', 'midi', 'disponible', 'integralite', 'franceculture', 'grandesconferences']
613;613;4;0.6469;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['point', 'situation', 'retrouvez', 'toutes', 'information', 'mieux', 'comprendre', 'enjeu', 'crise', 'notredefense', 'florence', 'parly', 'hervegrandjean', 'gouvernementfr', 'etatmajorfr', 'armeedeterre', 'armee', 'lair', 'marinenationale']
614;614;0;0.3272;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['aidehumanitaire', 'operation', 'ndeg', 'mai', 'don', 'tonne', 'materiels', 'vehicules', 'secours', 'autorites', 'operation', 'financee', 'don', 'collectivites', 'territoriale', 'entreprise', 'francaises']
615;615;1;0.3128;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['chef', 'diplomatie', 'serguei', 'lavrov', 'rendu', 'mardi', 'algerie', 'exportateur', 'gazier', 'plus', 'plus', 'sollicite', 'europe', 'afin', 'renforcer', 'partenariat', 'retour', 'enjeu', 'visite', 'chroniqueuse', 'virginie', 'herz', 'gaz']
